node,centrality,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
12038889100,giant,,,,,,,,0.0,0.0,0.0,,,
12038889100,num_2nd_neighbors,,,,,,,,0.0,0.0,0.0,,,
12039860600,betweenness,,,,,,,,,,,,,
12039860600,betweenness_rank,,,,,,,,,,,,,
12039860600,closeness,,,,,,,,,,,,,
12039860600,degree,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,2.0
12039860600,eigenvector,,,,,,,,,,,,,
12039860600,eigenvector_rank,,,,,,,,,,,,,
12039860600,giant,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0
12039860600,num_2nd_neighbors,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,1.0
12040061000,betweenness,,,,,,,,,,,,,
12040061000,betweenness_rank,,,,,,,,,,,,,
12040061000,closeness,,,,,,,,,,,,,
12040061000,degree,,,,,,,,1.0,1.0,1.0,,,
12040061000,eigenvector,,,,,,,,,,,,,
12040061000,eigenvector_rank,,,,,,,,,,,,,
12040061000,giant,,,,,,,,0.0,0.0,0.0,,,
12040061000,num_2nd_neighbors,,,,,,,,0.0,0.0,0.0,,,
12139122000,betweenness,,,,,,,,,,,,,
12139122000,betweenness_rank,,,,,,,,,,,,,
12139122000,closeness,,,,,,,,,,,,,
12139122000,degree,,,,,2.0,2.0,2.0,,,,,,
12139122000,eigenvector,,,,,,,,,,,,,
12139122000,eigenvector_rank,,,,,,,,,,,,,
12139122000,giant,,,,,0.0,0.0,0.0,,,,,,
12139122000,num_2nd_neighbors,,,,,0.0,0.0,1.0,,,,,,
12139608900,betweenness,,,,,,,,,,,,,
12139608900,betweenness_rank,,,,,,,,,,,,,
12139608900,closeness,,,,,,,,,,,,,
12139608900,degree,,,,,,,,,,,,2.0,2.0
12139608900,eigenvector,,,,,,,,,,,,,
12139608900,eigenvector_rank,,,,,,,,,,,,,
12139608900,giant,,,,,,,,,,,,0.0,0.0
12139608900,num_2nd_neighbors,,,,,,,,,,,,0.0,0.0
12139858500,betweenness,,,,,,,,,,,,,
12139858500,betweenness_rank,,,,,,,,,,,,,
12139858500,closeness,,,,,,,,,,,,,
12139858500,degree,,,,,,,,,,1.0,1.0,1.0,
12139858500,eigenvector,,,,,,,,,,,,,
12139858500,eigenvector_rank,,,,,,,,,,,,,
12139858500,giant,,,,,,,,,,0.0,0.0,0.0,
